Transcription	Gloss	Translation	Orthography	Notes	ID	RecordingQaulity	Date	Location	Speaker	Filename
ɒɻɒm-ə uɻɒχ ɑ	Aram-DEF happy is	Aram is happy	Արամը ուրախ ա		NK_12_16_21_001	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_001_ɒɻɒm-ə uɻɒχ ɑ
ɒɻɒm-i ɡiɻkʰ-ə	Aram-GEN book-DEF	Aram's book	Արամի գիրքը		NK_12_16_21_002	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_002_ɒɻɒm-i ɡiɻkʰ-ə
ɒɻɒm-i het	Aram-GEN with	With Aram	Արամի հետ		NK_12_16_21_003	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_003_ɒɻɒm-i het
ɒɻɒm-i-n mɒkʰɻ-ɑ-m	Aram-DAT-DEF clean-PST-1SG	I cleaned Aram	Արամին մաքրամ		NK_12_16_21_004	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_004_ɒɻɒm-i-n mɒkʰɻ-ɑ-m
ɒɻɒm-i-n mɒkʰɻ-ɑ-m	Aram-DAT-DEF clean-PST-1SG	I cleaned Aram	Արամին մաքրամ		NK_12_16_21_005	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_005_ɒɻɒm-i-n mɒkʰɻ-ɑ-m
ɒɻɒm-it͡sʰ	Aram-ABL	From Aram	Արամից		NK_12_16_21_006	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_006_ɒɻɒm-it͡sʰ
ɒɻi	come.IMP.2SG	come.SG!	արի		NK_04_13_21_002	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_002_ɒɻi
ɒɻi	come.IMP.2SG	come.SG!	արի		NK_04_13_21_003	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_003_ɒɻi
ɒɻtʰn-ɒ-t͡sʰ-ɒ-v	wake.up-LV-AOR-PST-3SG	he woke up	արթնացաւ		NK_05_01_21_007	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_007_ɒɻtʰn-ɒ-t͡sʰ-ɒ-v
ɒɻʒ-e-m	worth-TH-1SG	I am worth	արժեմ		NK_05_01_21_008	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_008_ɒɻʒ-e-m
ɒɻʒ-e-m	worth-TH-1SG	I am worth	արժեմ		NK_05_01_21_009	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_009_ɒɻʒ-e-m
ɒɻʒɒn	cheap	cheap	արժան		NK_12_16_21_007	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_007_ɒɻʒɒn
ɒɻʒɒn	cheap	cheap	արժան		NK_12_16_21_008	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_008_ɒɻʒɒn
ɒs-ɒ-m kʰez	say-PST-1SG you.SG.DAT	I told you.SG	ասամ քեզ		NK_03_09_21_002	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_002_ɒs-ɒ-m kʰez
ɒs-e-l	say-TH-INF	to say	ասել		NK_05_01_21_010	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_010_ɒs-e-l
ɒs-e-m kʰez	say-TH-1SG you.SG.DAT	I will tell you.SG	ասամ քեզ		NK_03_09_21_003	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_003_ɒs-e-m kʰez
ɒʃɒkeɻt	student	student	աշակերտ		NK_12_16_21_009	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_009_ɒʃɒkeɻt
ɒtʰor-ən e-m t-ɒ-l-i ɒnɒ-ji-n	chair-DEF is-1SG give-TH-INF-IMPF.CVB Ana-DAT-DEF	I am giving the CHAIR to Ana	աթոռը եմ տալի Անային		NK_04_13_21_004	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_004_ɒtʰor-ən e-m t-ɒ-l-i ɒnɒ-ji-n
ɒt͡s-e-l	pour-TH-INF	to pour	ածել		NK_10_26_21_022	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_022_ɒt͡s-e-l
ɒt͡s-e-l	pour-TH-INF	to pour	ածել		NK_10_26_21_023	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_023_ɒt͡s-e-l
ɒt͡s-e-l	pour-TH-INF	to pour	ածել		NK_10_26_21_024	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_024_ɒt͡s-e-l
ɒt͡ʃ-e-l	grow-TH-INF	to grow	աճել		NK_10_26_21_025	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_025_ɒt͡ʃ-e-l
ɒt͡ʃ-e-l	grow-TH-INF	to grow	աճել		NK_10_26_21_026	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_026_ɒt͡ʃ-e-l
ɒt͡ʃʰ-it͡sʰ	right-ABL	from the right	աջից		NK_10_26_21_027	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_027_ɒt͡ʃʰ-it͡sʰ
ɒt͡ʃʰ-it͡sʰ	right-ABL	from the right	աջից		NK_10_26_21_028	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_028_ɒt͡ʃʰ-it͡sʰ
ɒt͡ʃʰ-it͡sʰ	right-ABL	from the right	աջից		NK_10_26_21_029	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_029_ɒt͡ʃʰ-it͡sʰ
ɒvɒɻt-e-l	graduate-TH-INF	to graduate	աւարտել		NK_05_01_21_011	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_011_ɒvɒɻt-e-l
ɒzɒt-e-l	free-TH-INF	to free	ազատել	odd sound	NK_05_01_21_012	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_012_ɒzɒt-e-l
ɒzɒt-el	free-TH-INF	to free	ազատել		NK_05_01_21_013	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_013_ɒzɒt-el
bɒdik	duck	duck	բադիկ		NK_10_26_21_030	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_030_bɒdik
bɒdik	duck	duck	բադիկ		NK_10_26_21_031	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_031_bɒdik
bɒdik	duck	duck	բադիկ		NK_10_26_21_032	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_032_bɒdik
bɒk	yard	yard	բակ		NK_03_23_21_001	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_001_bɒk
bɒk	yard	yard	բակ		NK_03_23_21_002	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_002_bɒk
bɒk	yard	yard	բակ		NK_03_23_21_003	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_003_bɒk
bɒr	word	word	բառ		NK_03_23_21_004	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_004_bɒr
bɒr	word	word	բառ		NK_03_23_21_005	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_005_bɒr
bɒr	word	word	բառ		NK_03_23_21_006	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_006_bɒr
bɒr	word	word	բառ		NK_05_01_21_014	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_014_bɒr
bɒr	word	word	բառ		NK_12_16_21_011	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_011_bɒr
bɒr-eɻ	word-PL	words	բառեր		NK_12_16_21_010	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_010_bɒr-eɻ
bɒr-ə	word-DEF	the word	բառը		NK_03_09_21_004	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_004_bɒr-ə
bɒt͡sʰ	open	open	բաց		NK_10_26_21_033	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_033_bɒt͡sʰ
bɒt͡sʰ	open	open	բաց		NK_10_26_21_034	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_034_bɒt͡sʰ
bɒt͡sʰ-e-l	open-TH-INF	to open	բացել		NK_05_01_21_015	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_015_bɒt͡sʰ-e-l
bɒt͡sʰ-e-l	open-TH-INF	to open	բացել		NK_05_01_21_016	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_016_bɒt͡sʰ-e-l
bɒʒɒk	cup	cup	բաժակ	she feels her initial stop is unvoiced	NK_12_16_21_015	Audacity	Dec 16 2021	NK_05_01_21	NK	NK_12_16_21_015_bɒʒɒk
bɒʒɒk	cup	cup	բաժակ		NK_12_16_21_012	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_012_bɒʒɒk
bɒʒɒk	cup	cup	բաժակ		NK_12_16_21_013	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_013_bɒʒɒk
bɒʒɒk	cup	cup	բաժակ		NK_12_16_21_014	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_014_bɒʒɒk
beɻɒn	mouth	mouth	բերան		NK_03_23_21_007	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_007_beɻɒn
bərn-ɒ-v	catch-PST-3SG	he caught	բռնաւ	corrected herself online to b	NK_03_23_21_008	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_008_bərn-ɒ-v
bərn-ɒ-v	catch-PST-3SG	he caught	բռնաւ	corrected herself online to b	NK_03_23_21_009	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_009_bərn-ɒ-v
bərn-ɒt͡sʰ	catch-RPTCP	caught (participle)	բռնած	corrected herself online to b	NK_03_23_21_010	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_010_bərn-ɒt͡sʰ
bərn-e-l	catch-TH-INF	to catch	բռնել		NK_03_23_21_011	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_011_bərn-e-l
bərn-e-l	catch-TH-INF	to catch	բռնել		NK_03_23_21_012	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_012_bərn-e-l
bərn-e-l	catch-TH-INF	to catch	բռնել	corrected herself online to b	NK_03_23_21_013	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_013_bərn-e-l
bərnə-v-ɒ-m	catch-PASS-TH-1SG	I was caught	բռնուամ	corrected herself online to b	NK_03_23_21_014	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_014_bərnə-v-ɒ-m
bərnə-v-ɒ-m	catch-PASS-PST-1SG	I got caught	բռնուամ	noise; corrected herself online to b	NK_03_23_21_015	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_015_bərnə-v-ɒ-m
bərnəv-ɒt͡sʰ	catch-PASS-RPTCP	caught (passive participle)	բռնուած	corrected herself online to b	NK_03_23_21_016	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_016_bərnəv-ɒt͡sʰ
bəʒiʃk	doctor	doctor	բժիշկ		NK_12_16_21_016	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_016_bəʒiʃk
bəʒiʃk	doctor	doctor	բժիշկ		NK_12_16_21_017	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_017_bəʒiʃk
bəʒiʃk	doctor	doctor	բժիշկ		NK_12_16_21_018	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_018_bəʒiʃk
dæɻæɡ	drawer	drawer	դարակ		NK_03_23_21_017	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_017_dæɻæɡ
dæɻæɡ	drawer	drawer	դարակ		NK_03_23_21_018	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_018_dæɻæɡ
dæɻæɡ	drawer	drawer	դարակ		NK_05_01_21_017	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_017_dæɻæɡ
dæɻæɡ	drawer	drawer	դարակ		NK_05_01_21_018	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_018_dæɻæɡ
dæɻæɡ	drawer	drawer	դարակ		NK_05_01_21_019	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_019_dæɻæɡ
dɒnɒk	knife	knife	դանակ		NK_05_01_21_020	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_020_dɒnɒk
dɒnɒk	knife	knife	դանակ		NK_05_01_21_021	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_021_dɒnɒk
dɒnɒk	knife	knife	դանակ		NK_05_01_21_022	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_022_dɒnɒk
dɒr-n-ɒ-l	turn-INCH-TH-INF	to turn	դառնալ		NK_05_01_21_023	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_023_dɒr-n-ɒ-l
dɒɻ	century	century	դար		NK_03_23_21_019	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_019_dɒɻ
dɒɻ	century	century	դար		NK_05_01_21_027	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_027_dɒɻ
dɒɻ	century	century	դար		NK_05_01_21_028	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_028_dɒɻ
dɒɻ-eɻ	century-PL	centuries	դարեր		NK_05_01_21_024	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_024_dɒɻ-eɻ
dɒɻ-t͡sʰn-e-l	turn-CAUS-TH-INF	to turn	tդառձնել		NK_05_01_21_025	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_025_dɒɻ-t͡sʰn-e-l
dɒɻ-t͡sʰn-e-l	turn-CAUS-TH-INF	to turn	tդառձնել		NK_05_01_21_026	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_026_dɒɻ-t͡sʰn-e-l
dɒtɒɻk	empty	empty	դատարկ		NK_10_26_21_035	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_035_dɒtɒɻk
dəɻɒm	dram	dram	դրամ	question intonation	NK_03_23_21_020	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_020_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_03_23_21_021	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_021_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_03_23_21_022	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_022_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_03_23_21_023	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_023_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_03_23_21_024	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_024_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_05_01_21_029	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_029_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_05_01_21_030	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_030_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_05_01_21_031	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_031_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_05_01_21_032	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_032_dəɻɒm
dəɻɒm	dram	dram	դրամ		NK_05_01_21_033	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_033_dəɻɒm
du eɻeɡ kɒɻtʰ-ɒ-t͡sʰ-i-ɻ	you.SG yesterday read-TH-AOR-PST-2SG	you.SG read yesterday	դու էրեկ կարդացիր	choppy	NK_03_09_21_005	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_005_du eɻeɡ kɒɻtʰ-ɒ-t͡sʰ-i-ɻ
du es jeɻkʰ-ən e-s jeɻkʰ-e	you.SG this song-DEF is-2SG sing-PERF.CVB	this song, you.SG have sung	դու էս երգն ես երգե		NK_03_09_21_006	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_006_du es jeɻkʰ-ən e-s jeɻkʰ-e
du es jeɻkʰ-ən e-s jeɻkʰ-e	you.SG this song-DEF is-2SG sing-PERF.CVB	this song, you.SG have sung	դու էս երգն ես երգե		NK_03_09_21_007	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_007_du es jeɻkʰ-ən e-s jeɻkʰ-e
du jeɻkʰ e-s jeɻkʰ-e	you.SG song-DEF is-2SG sing-PERF.CVB	you.SG have sung a song	դու երգն ես երգե		NK_03_09_21_008	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_008_du jeɻkʰ e-s jeɻkʰ-e
du jeɻkʰ-ɒ-ɻ	you.SG sing-PST-2SG	you.SG sang	դու երգար		NK_03_09_21_009	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_009_du jeɻkʰ-ɒ-ɻ
du jeɻkʰ-e-l-uw ∅-i-ɻ	you.SG sing-TH-INF-FUT.CVB is-PST-2SG	you.SG were going to sing	դու երգելու իր		NK_03_09_21_010	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_010_du jeɻkʰ-e-l-uw ∅-i-ɻ
du jeɻkʰ-e-l-uw e-s	you.SG sing-TH-INF-FUT.CVB is-2SG	you.SG will sing	դու երգելու ես		NK_03_09_21_011	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_011_du jeɻkʰ-e-l-uw e-s
du jeɻkʰ-eɻ e-s	you.SG sing-PERF.CVB is-2SG	you.SG have sung	դու երգեր ես		NK_03_09_21_012	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_012_du jeɻkʰ-eɻ e-s
du jeɻkʰ-um ∅-i-ɻ	you.SG sing-IMPF.CVB is-PST-2SG	you.SG were singing	դու երգում իր		NK_03_09_21_013	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_013_du jeɻkʰ-um ∅-i-ɻ
du jeɻkʰ-um e-s	you.SG sing-IMPF.CVB is-2SG	you.SG sing	դու երգում ես		NK_03_09_21_014	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_014_du jeɻkʰ-um e-s
du jeɻkʰ-um e-s	you.SG sing-IMPF.CVB is-2SG	you.SG sing	դու երգում ես		NK_03_09_21_015	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_015_du jeɻkʰ-um e-s
du kɒɻtʰ-ɒ-s	you.SG read-TH-2SG	(If) you.SG read	դու կարդաս		NK_03_23_21_025	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_025_du kɒɻtʰ-ɒ-s
du kɒɻtʰ-um e-s	you.SG read-IMPF.CVB is-2SG	you.SG read	դու կարդում ես		NK_03_09_21_016	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_016_du kɒɻtʰ-um e-s
du mɒkʰuɻ e-s	you.SG clean is-2SG	You.SG are clean	Դու մաքուր ես		NK_12_16_21_019	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_019_du mɒkʰuɻ e-s
du χos-ɒ-t͡sʰ-i-ɻ	you.SG speak-TH-AOR-PST-2SG	you.SG spoke	դու խօսացիր		NK_03_09_21_017	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_017_du χos-ɒ-t͡sʰ-i-ɻ
dukʰ es jeɻkʰ-ən e-kʰ jeɻkʰ-e	you.PL this song-DEF is-2PL sing-PERF.CVB	this book, you.SG have song	դուք էս երգն էք երգե	choppy	NK_03_09_21_018	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_018_dukʰ es jeɻkʰ-ən e-kʰ jeɻkʰ-e
dukʰ es jeɻkʰ-ən e-kʰ jeɻkʰ-e	you.PL this song-DEF is-2PL sing-PERF.CVB	this song, you.SG have sung	դուք էս երգն էքʰ երգե		NK_03_09_21_019	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_019_dukʰ es jeɻkʰ-ən e-kʰ jeɻkʰ-e
dukʰ jeɻkʰ e-kʰ jeɻkʰ-e	you.PL song-DEF is-2PL sing-PERF.CVB	you.PL have sung a song	դուք էս երգն էքʰ երգե		NK_03_09_21_020	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_020_dukʰ jeɻkʰ e-kʰ jeɻkʰ-e
dukʰ jeɻkʰ-ɒ-kʰ	you.PL sing-PST-2PL	you.PL sang	դուք երգաք		NK_03_09_21_021	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_021_dukʰ jeɻkʰ-ɒ-kʰ
dukʰ jeɻkʰ-e-l-uw ∅-i-kʰ	you.PL sing-TH-INF-FUT.CVB is-PST-2PL	you.PL were going to sing	դուք երգելու իք		NK_03_09_21_022	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_022_dukʰ jeɻkʰ-e-l-uw ∅-i-kʰ
dukʰ jeɻkʰ-e-l-uw ∅-i-kʰ	you.PL sing-TH-INF-FUT.CVB is-PST-2PL	you.PL were going to sing	դուք երգելու իք		NK_03_09_21_023	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_023_dukʰ jeɻkʰ-e-l-uw ∅-i-kʰ
dukʰ jeɻkʰ-e-l-uw e-kʰ	you.PL sing-TH-INF-FUT.CVB is-2PL	you.PL will sing	դուք երգելու էք		NK_03_09_21_024	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_024_dukʰ jeɻkʰ-e-l-uw e-kʰ
dukʰ jeɻkʰ-eɻ e-kʰ	you.PL sing-PERF.CVB is-PL	you.PL have sung	դուք երգեր էք		NK_03_09_21_025	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_025_dukʰ jeɻkʰ-eɻ e-kʰ
dukʰ jeɻkʰ-um ∅-i-kʰ	you.PL sing-IMPF.CVB is-PST-2PL	you.PL were singing	դուք երգում իք		NK_03_09_21_026	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_026_dukʰ jeɻkʰ-um ∅-i-kʰ
